accel_mean,accel_std,accel_peak,accel_energy,accel_jerk_mean,accel_jerk_peak,gravity_deviation,accel_iqr,accel_skewness,accel_kurtosis,gyro_mean,gyro_std,gyro_peak,gyro_energy,gyro_jerk_mean,gyro_jerk_peak,gyro_iqr,gyro_variance,combined_intensity,phone_shake,impact_force,accel_gyro_correlation,sma,dynamic_accel,zero_crossings,signal_entropy,dominant_freq_accel,dominant_freq_gyro,scenario,label
10.54667,2.43424,15.74027,117.15768,2.77945,9.33713,0.73667,4.06065,-0.08395,-0.91467,7.25202,3.47206,17.04625,64.647,3.55815,10.73755,3.59575,12.05523,76.48462,21.79958,5.93027,-0.06452,14.53598,2.15749,21.0,3.31104,7.0,8.0,harassment_backing,1
10.85164,1.02817,12.78459,118.81523,1.16535,3.04355,1.04164,1.45381,-0.2655,-0.5066,1.05519,0.4447,2.1633,1.31118,0.51141,1.48495,0.69418,0.19776,11.45053,2.7433,2.97459,0.11312,12.21673,1.2307,25.0,4.42065,23.0,23.0,normal_commute,0
10.97395,1.47614,14.85795,122.60651,1.58322,5.36535,1.16395,1.54961,0.35482,0.06413,1.41072,0.73189,4.17079,2.5258,0.73283,3.24353,0.85844,0.53567,15.48119,3.91128,5.04795,-0.37318,12.51864,1.54572,23.0,3.59962,15.0,2.0,normal_walking,0
9.44942,2.28522,15.48575,94.5137,2.64006,7.45743,0.36058,2.72552,-0.22634,0.26105,2.02169,0.89527,4.1233,4.88873,0.91635,2.47703,1.30589,0.80151,19.10376,11.00463,5.67575,0.1432,12.96958,1.77014,24.0,2.69346,6.0,1.0,fast_walk,0
27.21687,6.4892,39.26652,782.86792,7.88887,30.38318,17.40687,7.89063,-1.0018,2.42526,18.58188,5.08788,28.18798,371.17282,5.37607,16.41569,7.63097,25.88648,505.74075,137.7337,29.45652,0.06055,43.88649,17.68807,29.0,1.24442,21.0,13.0,physical_attack,1
8.93503,1.13079,11.42856,81.11349,1.27832,4.75972,0.87497,1.59627,-0.17774,-0.52207,1.57589,0.73784,3.39579,3.02782,0.79623,2.50783,1.03379,0.5444,14.0806,3.06489,1.61856,0.21307,10.32278,1.14445,27.0,4.16546,5.0,11.0,normal_walking,0
10.11739,0.43522,11.13593,102.55091,0.46464,1.32563,0.30739,0.58556,0.23969,-0.26509,0.48733,0.13861,0.78459,0.2567,0.1552,0.46249,0.18812,0.01921,4.93048,0.5262,1.32593,0.03577,10.94095,0.41704,23.0,3.58568,4.0,8.0,phone_dropped_snatched,1
24.82757,5.48821,34.83014,646.52869,5.49939,17.28172,15.01757,7.54529,-0.03299,-0.82571,23.35948,5.86178,36.36832,580.02563,6.3321,17.61478,8.51558,34.36052,579.95905,125.38501,25.02014,0.11586,37.83199,15.01757,21.0,1.98232,1.0,2.0,physical_attack,1
10.26198,2.26201,15.74795,110.42487,2.66596,7.01804,0.45198,2.77547,0.38963,-0.16965,2.79506,1.07969,6.0761,8.97809,1.02958,3.48011,1.18072,1.16572,28.68286,9.02829,5.93795,-0.08642,12.56943,1.78606,25.0,3.0348,10.0,1.0,normal_jogging,0
9.42748,0.35019,10.45015,89.00009,0.41291,1.5612,0.38252,0.31392,0.48281,1.20713,2.93718,1.1062,5.28642,9.85071,1.28654,3.36585,1.63503,1.22368,27.69022,0.32815,0.64015,-0.09574,10.29275,0.4439,30.0,1.82272,17.0,10.0,sudden_freeze_danger,1
11.34214,2.36789,16.28085,134.25101,2.67697,7.45563,1.53214,3.22712,-0.16375,-0.16212,6.15134,3.0447,12.51679,47.10918,3.53402,10.90514,4.81593,9.27019,69.76936,23.11086,6.47085,-0.02518,15.76514,2.37169,21.0,2.87937,1.0,14.0,harassment_backing,1
10.12616,1.59517,14.86841,105.08377,1.70961,5.04218,0.31616,2.00615,0.22213,0.3433,3.0122,1.37581,6.7037,10.96623,1.3683,5.03953,2.14288,1.89286,30.50207,18.99905,5.05841,-0.11132,14.96064,1.27374,26.0,3.07688,10.0,9.0,being_followed,1
11.03394,1.93314,16.57234,125.48475,2.23511,8.55192,1.22394,2.0623,-0.17652,0.44273,10.12622,3.9727,18.97536,118.32275,4.7346,11.89419,5.92016,15.78235,111.73211,11.72791,6.76234,0.24161,15.09078,1.94851,27.0,2.7363,9.0,23.0,trembling_fear,1
35.7459,8.03336,61.70526,1342.30432,9.95203,37.03037,25.9359,10.34742,0.53076,0.95665,14.84972,5.8233,29.19028,254.42514,6.47739,20.06011,7.37082,33.91079,530.81677,197.96548,51.89526,0.00731,58.16145,25.9359,28.0,1.09107,25.0,4.0,kidnapping,1
31.65568,6.79097,47.00552,1048.19946,7.18582,22.2156,21.84568,8.28722,-0.07337,-0.6221,15.95343,5.7346,29.57739,287.39752,7.15788,24.26563,7.84351,32.8856,505.01672,147.1965,37.19551,-0.2695,49.533,21.84568,22.0,1.59558,6.0,14.0,forced_into_vehicle,1
11.00954,2.03834,15.92036,125.3649,2.42921,6.55003,1.19954,3.13032,0.31362,-0.29601,3.06445,1.24698,6.91399,10.94584,1.42979,4.51136,1.44586,1.55496,33.73824,20.11745,6.11036,-0.05937,15.1012,1.86688,29.0,3.23598,22.0,2.0,being_followed,1
10.10941,2.11113,15.46338,110.06379,2.43199,6.79923,0.88117,2.63136,0.33412,-0.28669,2.59804,1.15911,5.54194,12.12793,1.38387,4.7111,1.6053,2.02406,28.27579,22.1986,5.65338,-0.04718,13.02508,1.80493,26.51761,3.41714,11.44226,12.07535,synthetic_hard_negative,0
9.22025,4.49879,24.51986,105.25217,4.59558,16.79492,0.58975,4.51385,1.32093,2.06096,16.45742,4.72673,26.64487,293.1886,5.22982,17.73569,5.46181,22.34194,151.74155,103.95808,14.70986,-0.06789,13.80891,3.46694,23.0,1.69281,2.0,11.0,sudden_fall_push,1
9.82185,0.1726,10.28851,96.49853,0.19899,0.48811,0.01185,0.23982,0.14447,0.16803,0.2341,0.08262,0.43755,0.06163,0.08753,0.31515,0.10581,0.00683,2.29929,0.1094,0.47851,0.26262,10.29683,0.13661,25.0,-6.52785,25.0,6.0,sitting_still,0
14.56994,5.40995,28.05717,241.55074,6.0346,15.62094,4.75994,8.4141,0.0909,-0.57589,5.66374,2.11884,11.2314,36.56742,2.57663,8.61375,2.76404,4.4895,82.5203,79.42505,18.24717,0.14563,21.1485,5.91427,22.0,1.81399,9.0,19.0,escape_running,1
9.52054,2.65578,15.06246,97.69375,2.76713,10.00308,0.28946,3.54176,0.14578,-0.41212,2.90288,1.32022,6.62484,10.1697,1.51226,5.40504,1.81006,1.74297,27.637,12.27612,5.25246,-0.00155,11.77076,2.10036,22.0,2.92616,4.0,22.0,normal_jogging,0
22.14644,6.41108,38.08636,531.56677,6.5692,25.93467,12.33644,6.93322,-0.37375,0.89749,12.49254,5.55888,25.37505,186.96477,5.89009,20.29126,8.72118,30.90116,276.66531,128.0307,28.27636,-0.02235,34.81181,12.61606,23.0,1.26931,12.0,2.0,physical_attack,1
10.08898,0.98897,12.34038,102.7656,1.25296,3.95443,0.27898,1.40589,-0.08989,-0.33814,1.08005,0.36171,1.92059,1.29735,0.42122,1.45411,0.48636,0.13083,10.89664,2.98575,2.53038,0.06898,11.76718,0.82045,25.0,4.12828,20.0,18.0,normal_commute,0
11.47574,4.37295,21.18068,150.8152,4.84401,16.50943,1.66574,6.00839,0.23213,-0.60405,13.2829,4.10387,23.11603,193.27734,5.04468,15.00574,4.26914,16.84178,152.43109,135.31844,11.37068,0.04368,17.37361,3.64843,21.0,2.18608,18.0,25.0,sudden_fall_push,1
31.41713,7.04857,44.94577,1036.71863,8.31206,32.18147,21.60713,8.138,-0.48263,0.17301,7.51448,2.41158,13.23067,62.28313,2.96267,8.30502,3.66046,5.81571,236.08342,83.34114,35.13577,0.06909,37.82766,21.60713,28.0,1.46087,8.0,19.0,escape_running,1
14.82888,3.62407,22.76698,250.42503,4.29972,10.79298,5.01888,4.66059,-0.01269,-0.31972,11.64055,3.21681,18.9774,217.46754,3.56661,11.83028,4.21563,14.84333,202.97179,94.16934,12.95698,0.0871,20.38678,5.47338,26.67928,2.68086,14.35856,14.16036,synthetic_borderline_danger,1
15.55526,2.44741,20.36952,247.95586,3.07691,6.909,5.74526,3.33023,-0.01795,-0.68072,6.44373,3.05027,14.202,50.82584,3.78558,9.57893,5.10668,9.30417,100.23389,23.10447,10.55952,-0.02762,21.06116,5.74526,25.0,3.18889,23.0,16.0,harassment_backing,1
16.54612,4.175,23.79002,291.20462,5.29866,12.2734,6.73612,6.89771,-0.08582,-1.21656,10.30903,3.87984,18.60888,121.32923,4.43853,16.80841,5.49447,15.05317,170.5744,56.24303,13.98002,-0.20486,26.70722,6.78288,29.0,2.50323,24.0,3.0,struggle_restrained,1
17.29792,4.32935,28.22814,317.96133,5.28206,14.37496,7.48792,5.36537,0.03881,0.00469,10.38737,3.27188,17.82795,118.60261,3.86137,10.34611,5.31865,10.70517,179.6799,72.31313,18.41814,-0.20041,27.25416,7.68993,29.0,1.89174,21.0,4.0,struggle_restrained,1
27.9516,8.27949,46.10503,849.8418,9.22843,22.42594,18.1416,11.89713,0.04455,-0.52572,11.40949,3.72406,19.44862,144.04515,4.62461,15.43898,5.61058,13.86859,318.9136,142.27313,36.29502,-0.15167,35.92239,18.1959,22.0,1.32449,14.0,17.0,sudden_fall_push,1
9.37472,1.50611,12.47146,90.15377,1.74498,4.96607,0.43528,2.24207,0.13622,-0.58103,7.51827,3.77214,17.94955,70.75339,4.07437,14.06263,4.04209,14.22903,70.48167,8.05299,2.66146,0.24159,11.98166,1.34948,25.0,3.58782,22.0,12.0,trembling_fear,1
24.0312,6.42917,35.48474,618.83264,8.04456,23.46206,14.2212,8.59763,-0.49544,-0.14284,22.84507,5.58351,34.87292,553.07288,6.25498,24.24157,6.8031,31.17557,548.99451,137.3223,25.67474,-0.00203,38.26332,14.32377,30.0,1.58287,18.0,18.0,forced_into_vehicle,1
11.6098,1.78586,15.51624,137.97668,2.13252,4.8518,1.7998,2.40879,-0.25569,-0.5633,9.10652,3.58373,16.82925,95.77182,4.77436,12.17758,5.37397,12.8431,105.72485,8.50115,5.70624,0.0802,15.01038,2.17684,24.0,3.49463,9.0,25.0,trembling_fear,1
8.80371,1.44068,12.52104,79.58091,1.43861,6.13901,1.00629,1.90421,0.45953,0.0616,3.40541,1.38447,6.72158,13.51357,1.71992,5.51552,1.77722,1.91677,29.98023,19.37546,2.71104,-0.03524,12.39989,1.44501,19.0,3.87958,11.0,16.0,being_followed,1
13.68069,2.59835,19.2557,193.91283,3.2509,7.87885,3.87069,3.54528,-0.28734,-0.3917,7.32656,3.10962,14.1061,63.3483,3.23789,10.90176,3.30704,9.66974,100.23249,24.36825,9.4457,-0.06572,19.01941,4.06626,29.0,2.77727,14.0,6.0,harassment_backing,1
10.07786,0.38411,10.86869,101.71079,0.45504,1.1424,0.26786,0.62714,-0.13742,-0.84743,0.2851,0.1136,0.56081,0.09419,0.11234,0.36123,0.14983,0.0129,2.87317,0.44159,1.05869,0.13522,11.08534,0.39492,23.0,3.22391,15.0,13.0,phone_dropped_snatched,1
12.77378,3.86061,22.63504,178.07375,5.06084,13.62031,2.96378,5.22913,-0.12435,0.11941,3.87184,1.61898,7.43296,17.6122,1.81275,4.97086,2.06901,2.62109,49.45797,41.36736,12.82504,0.0072,17.16297,3.96033,26.0,2.04787,25.0,12.0,workout_gym,0
9.90119,0.34086,10.62652,98.14977,0.43035,1.59813,0.09119,0.44116,-0.17333,-0.30274,2.4911,1.21936,5.75676,7.6924,1.4971,4.3773,1.43637,1.48684,24.66483,0.28973,0.81652,-0.27431,10.54761,0.29042,30.0,2.58335,17.0,25.0,sudden_freeze_danger,1
39.06956,8.23751,62.22212,1594.28723,10.20558,24.592,29.25957,11.79188,0.06102,0.20326,23.47775,5.30747,33.54417,579.37421,6.11016,17.8667,7.00797,28.16925,917.26562,253.04465,52.41212,-0.19016,62.95112,29.25956,26.0,1.12624,23.0,13.0,kidnapping,1
18.91026,8.47957,49.73783,429.50082,8.18344,41.6162,9.10026,9.58098,0.72929,1.73936,11.5004,3.84911,21.01086,147.07477,4.49363,14.56823,5.06031,14.81563,217.47543,148.27959,39.92783,-0.07498,26.9698,10.10428,17.0,1.08054,24.0,13.0,sudden_fall_push,1
15.79323,4.97201,26.84023,274.14716,5.50418,17.4654,5.98323,7.93855,0.30782,-0.85277,7.70831,3.24141,13.61322,69.92471,3.96709,9.50926,5.15237,10.50671,121.7391,62.09295,17.03023,0.16522,22.6133,6.27268,24.0,2.13029,2.0,4.0,escape_running,1
13.77433,3.09072,23.21517,199.28465,3.06309,12.34223,3.96433,4.11744,0.29243,0.79472,6.7132,2.95777,14.13827,53.81552,3.86236,9.08016,4.66725,8.74839,92.46989,25.1561,13.40517,0.04277,22.06366,4.19843,25.0,2.00735,8.0,25.0,harassment_backing,1
22.80611,5.89642,37.08208,554.88647,7.65729,21.50278,12.99611,7.47032,0.04157,-0.03051,10.08244,3.48097,19.96568,113.77278,4.1347,13.42106,4.11151,12.11712,229.94131,110.87318,27.27209,-0.17925,32.58739,12.99611,30.0,1.64241,14.0,25.0,sudden_fall_push,1
9.64591,0.31405,10.40149,93.14217,0.36802,1.10286,0.16409,0.49933,-0.08409,-0.312,2.88364,1.39197,8.50959,10.25296,1.3246,6.77445,1.63136,1.93757,27.81534,0.29501,0.59149,-0.16654,10.22132,0.28755,24.0,1.27664,19.0,18.0,sudden_freeze_danger,1
12.23239,5.01009,23.26526,174.73244,6.6637,18.14426,2.42239,7.00656,0.46538,-0.58288,5.63558,2.3666,13.70033,37.36061,2.39392,9.00739,2.30644,5.6008,68.93668,67.83894,13.45526,0.20569,17.94003,4.32575,26.0,2.16533,21.0,6.0,escape_running,1
7.08474,2.57344,15.91484,56.81607,2.75402,14.46184,2.72526,3.21491,0.83715,1.3432,2.55197,1.13937,4.54981,7.81071,1.34841,4.09719,1.80436,1.29816,18.08003,12.09913,6.10484,-0.09138,9.28415,3.24363,25.0,2.1591,17.0,12.0,normal_jogging,0
11.53619,4.13882,23.09139,150.21356,4.97418,14.15443,1.72619,5.4305,0.2583,-0.16575,14.94433,3.91951,22.97612,238.69545,4.86265,13.50037,5.13495,15.36257,172.40062,148.32246,13.28139,0.16952,16.84029,3.57418,27.0,2.03131,13.0,12.0,sudden_fall_push,1
24.60991,5.78941,37.73781,639.1651,6.74772,17.79193,14.79991,8.56337,0.22336,-0.76748,22.41266,5.15847,35.20786,528.93732,5.37084,14.33485,7.41364,26.60983,551.57361,98.38641,27.92781,0.00268,39.12904,14.79991,22.0,1.91107,11.0,4.0,physical_attack,1
9.87269,2.66582,16.83795,104.57671,2.65215,9.28277,0.06269,3.66013,0.00935,-0.08889,7.73085,3.20276,17.92829,70.02373,3.09352,13.23962,4.27113,10.25769,76.32431,23.8785,7.02795,0.14559,14.91643,2.16516,19.0,2.43416,6.0,25.0,harassment_backing,1
29.8151,6.39393,41.88836,929.82251,6.4587,21.76291,20.0051,8.37177,-0.25383,-0.17609,15.30089,5.09775,29.10155,260.1044,5.92805,23.87769,5.16166,25.98711,456.1976,123.00745,32.07836,0.16951,47.58667,20.0051,23.0,1.55747,20.0,25.0,physical_attack,1
10.91376,2.12612,15.46511,124.32426,2.40763,7.10898,1.10376,3.18628,-0.16785,-0.32091,2.8637,1.12447,5.40324,9.87148,1.29161,3.06114,1.77159,1.3083,30.75235,11.69793,5.65511,-0.00639,13.99852,2.03927,22.78984,3.04466,7.18476,16.13857,synthetic_borderline_danger,1
9.77604,0.1785,10.21329,95.60288,0.1942,0.60845,0.03396,0.22991,0.35654,-0.44515,0.17041,0.06795,0.31657,0.03366,0.07439,0.18282,0.11585,0.00462,1.66593,0.10011,0.40329,-0.02125,10.12158,0.15,22.0,-7.1979,2.0,3.0,sitting_still,0
24.72333,5.94397,37.40846,646.57367,6.01634,18.7661,14.91333,8.51632,-0.12803,-0.50597,11.36293,4.94455,23.28259,153.56474,6.49176,18.25848,6.96983,24.44858,280.92941,134.68614,27.59846,-0.07419,39.11977,14.91333,22.0,1.66547,8.0,20.0,physical_attack,1
8.94174,0.9945,10.549,80.94373,1.02614,4.6937,0.86826,1.55471,-0.48448,0.20934,0.96913,0.39295,2.22261,1.09362,0.48859,1.71122,0.50578,0.15441,8.6657,2.42976,0.739,0.06099,10.67021,1.03697,21.0,3.64445,5.0,18.0,normal_commute,0
11.75593,5.10725,33.60181,164.28587,4.87613,25.59139,1.94593,6.00779,1.55246,4.78779,9.2303,3.82204,16.70227,99.80647,4.45705,12.04554,5.68457,14.60796,108.51082,133.45332,23.79181,-0.01071,17.37695,3.94564,25.0,1.33838,5.0,4.0,sudden_fall_push,1
31.08747,6.60063,49.76754,1009.99878,7.22409,25.80547,21.27747,9.0706,0.48961,0.06389,17.62114,5.45018,30.63154,340.20895,6.80535,16.62581,8.82502,29.70443,547.79651,156.34601,39.95754,0.18509,50.5567,21.27746,28.0,1.44027,5.0,16.0,forced_into_vehicle,1
9.81116,0.22521,10.54204,96.30953,0.24866,0.67423,0.00116,0.27301,0.41311,0.8269,0.23397,0.08898,0.49051,0.06266,0.1139,0.4109,0.11294,0.00792,2.29549,0.17581,0.73204,0.04838,10.33247,0.1675,25.0,-2.51994,24.0,25.0,standing_still,0
11.58003,2.53428,16.44403,140.51959,3.43213,7.70306,1.77003,3.61716,0.15173,-0.80031,2.44941,1.02132,4.35169,7.0427,1.20666,3.06425,1.57773,1.04309,28.36421,11.80318,6.63403,-0.10519,14.59744,2.44736,27.0,3.11404,16.0,6.0,normal_jogging,0
9.83698,0.31221,10.62254,96.86366,0.40212,1.4759,0.02698,0.40498,-0.00866,-0.34677,2.06749,0.88227,5.40478,5.05292,0.95177,3.82694,1.0123,0.77839,20.3379,0.27486,0.81254,0.31087,10.48219,0.25476,28.0,1.97211,19.0,12.0,sudden_freeze_danger,1
10.14703,2.51943,16.54568,109.30978,3.21572,8.00517,0.33703,3.41489,0.37549,-0.04259,8.74377,4.3707,21.28352,95.55656,4.77834,14.18824,7.00864,19.10299,88.72334,25.25648,6.73568,-0.15579,15.45536,2.00442,31.0,2.83356,17.0,6.0,harassment_backing,1
10.4262,2.77799,16.79049,116.42281,3.01125,9.42486,0.6162,2.99647,0.32213,0.14026,3.05881,1.24671,6.34733,10.91059,1.53289,5.6045,1.37956,1.5543,31.89172,11.97645,6.98049,0.02927,13.07423,2.15462,25.0,2.44524,6.0,20.0,normal_jogging,0
9.87372,0.17594,10.24878,97.52137,0.19498,0.53943,0.06372,0.25878,-0.02513,-0.45155,0.15552,0.06825,0.32388,0.02884,0.07963,0.20937,0.09404,0.00466,1.53559,0.11444,0.43878,-0.15089,10.26915,0.15373,24.0,-8.00341,19.0,7.0,sitting_still,0
10.76057,2.33864,15.81216,121.25915,2.53399,8.80082,0.95057,3.1815,-0.24585,-0.42841,7.21229,2.77452,15.13773,59.71509,2.99514,9.09114,3.33724,7.69798,77.60835,25.34991,6.00216,-0.19075,15.16824,2.12338,21.0,3.0656,14.0,10.0,harassment_backing,1
10.48137,2.24851,14.68003,114.91483,2.20633,7.07908,0.67137,2.76258,-0.38303,-0.4645,2.13082,0.87933,4.45295,5.31361,0.80846,2.6531,1.35483,0.77321,22.33392,10.88182,4.87003,0.02749,13.17449,1.97105,17.0,3.27095,1.0,9.0,fast_walk,0
10.27212,5.05315,23.44937,131.05069,5.83862,15.27102,0.46212,6.88163,0.47555,-0.35035,16.86861,5.24336,29.42221,312.043,6.71566,15.17249,7.10776,27.49288,173.27637,125.85225,13.63937,0.04063,14.90632,4.0456,23.0,1.92422,4.0,23.0,sudden_fall_push,1
7.09797,1.99962,11.70316,54.37964,2.58639,8.64644,2.71203,2.48148,0.06257,-0.3085,2.38025,0.98454,5.03254,6.63489,1.0731,2.77404,1.28347,0.96932,16.89491,11.68089,1.89316,0.11744,9.53684,2.90343,32.0,3.31254,18.0,20.0,fast_walk,0
14.11345,2.71933,20.35074,206.58427,3.03942,8.33539,4.30345,3.51572,-0.12881,-0.10401,2.9514,1.14949,5.38444,10.03209,1.29341,4.53711,1.37429,1.32134,41.65443,12.46404,10.54074,0.17632,18.02986,4.46535,26.0,2.52928,2.0,20.0,normal_jogging,0
31.89955,7.87564,46.67136,1079.60706,8.72717,27.25138,22.08955,9.9945,0.00366,-0.78823,14.70667,5.33792,26.52736,244.77934,7.31779,16.26314,6.62615,28.49335,469.13605,211.47122,36.86136,-0.22294,50.80907,22.08955,22.0,1.63667,25.0,16.0,kidnapping,1
11.28043,4.26713,21.69051,145.45654,5.11655,13.83541,1.47043,5.52937,0.4808,-0.27274,15.27747,4.47083,28.0483,253.3895,5.22966,17.21899,4.81824,19.98829,172.3365,143.23129,11.88051,0.01801,16.52157,3.53397,20.0,2.17409,20.0,11.0,sudden_fall_push,1
41.05785,7.56569,58.08566,1742.98621,9.07633,30.42478,31.24785,10.93925,-0.0114,-0.58343,22.09853,6.48292,40.62589,530.37323,7.64186,24.23776,7.31033,42.02823,907.31805,216.01917,48.27566,-0.12125,66.83297,31.24784,27.0,1.42642,16.0,23.0,kidnapping,1
43.52943,8.60922,61.79735,1968.9292,10.93529,26.15208,33.71943,12.61834,0.1361,-0.58752,30.28004,7.32613,48.21634,970.55322,8.5146,24.74942,8.44165,53.67224,1318.07288,200.23418,51.98735,0.09986,72.57948,33.71942,24.0,1.34386,12.0,24.0,kidnapping,1
10.0382,1.10528,12.82284,101.98717,1.19635,3.76637,0.2282,1.19765,0.5602,0.18749,1.42713,0.51701,2.47196,2.30401,0.55833,1.39238,0.73628,0.2673,14.32583,2.7177,3.01284,0.02043,11.61053,0.86105,20.0,4.10591,6.0,5.0,normal_walking,0
10.47597,5.5848,25.72959,140.93584,6.18958,17.05403,0.66597,8.97528,0.65366,-0.35779,10.72888,3.61592,18.20962,128.1837,4.25828,10.63835,4.6744,13.07485,112.39538,139.99782,15.91959,0.17232,15.87557,4.52339,28.0,1.81971,1.0,19.0,sudden_fall_push,1
38.91177,8.32824,52.76035,1583.48511,10.29796,28.41308,29.10177,11.78076,-0.51986,-0.35516,30.55492,8.01143,45.58442,997.78571,9.58135,29.36053,9.95682,64.18297,1188.9458,200.06837,42.95035,0.14118,64.0239,29.10176,26.0,1.40639,22.0,25.0,kidnapping,1
33.4609,5.34746,43.03257,1148.22717,6.54185,21.1553,23.6509,7.64983,-0.45664,-0.55689,14.83766,4.95596,25.88572,244.71773,5.90308,16.0778,6.52691,24.56156,496.48145,93.76064,33.22256,-0.00931,56.21674,23.6509,22.0,2.01235,24.0,15.0,physical_attack,1
8.69389,1.09909,10.6306,76.79177,1.04478,3.48947,1.11611,1.57387,-0.30033,-0.20722,1.61649,0.5491,2.7555,2.91457,0.69481,2.2857,0.75515,0.30151,14.05363,3.0397,0.8206,0.16537,10.20056,1.26697,23.0,3.96072,3.0,16.0,normal_walking,0
